Time,SOLAR,LOAD_E,LOAD_H,LOAD_EP,WIND
1,0,0.6,0.8,0.9,0.533500
2,0,0.55,0.8,0.9,0.582000
3,0,0.5,0.8,0.9,0.562600
4,0,0.5,0.8,0.9,0.533500
5,0,0.55,0.8,0.9,0.504400
6,0,0.65,0.8,0.9,0.465600
7,0.05,0.75,0.8,0.9,0.407400
8,0.15,0.85,0.8,0.9,0.368600
9,0.3,0.9,0.8,0.9,0.339500
10,0.45,0.92,0.8,0.9,0.310400
11,0.55,0.9,0.8,0.9,0.291000
12,0.6,0.88,0.8,0.9,0.271600
13,0.55,0.85,0.8,0.9,0.291000
14,0.45,0.82,0.8,0.9,0.310400
15,0.3,0.8,0.8,0.9,0.339500
16,0.15,0.85,0.8,0.9,0.368600
17,0.05,0.95,0.8,0.9,0.407400
18,0,0.98,0.8,0.9,0.465600
19,0,0.95,0.8,0.9,0.504400
20,0,0.9,0.8,0.9,0.533500
21,0,0.85,0.8,0.9,0.562600
22,0,0.75,0.8,0.9,0.533500
23,0,0.65,0.8,0.9,0.504400
24,0,0.6,0.8,0.9,0.485000
25,0,0.5,0.8,0.9,0.436500
26,0,0.48,0.8,0.9,0.465600
27,0,0.45,0.8,0.9,0.485000
28,0,0.45,0.8,0.9,0.465600
29,0,0.5,0.8,0.9,0.436500
30,0.05,0.55,0.8,0.9,0.388000
31,0.15,0.65,0.8,0.9,0.339500
32,0.3,0.75,0.8,0.9,0.310400
33,0.5,0.8,0.8,0.9,0.271600
34,0.7,0.82,0.8,0.9,0.242500
35,0.8,0.8,0.8,0.9,0.213400
36,0.85,0.78,0.8,0.9,0.242500
37,0.8,0.75,0.8,0.9,0.271600
38,0.7,0.72,0.8,0.9,0.291000
39,0.5,0.7,0.8,0.9,0.310400
40,0.3,0.75,0.8,0.9,0.339500
41,0.15,0.85,0.8,0.9,0.368600
42,0.05,0.9,0.8,0.9,0.388000
43,0,0.85,0.8,0.9,0.436500
44,0,0.8,0.8,0.9,0.465600
45,0,0.75,0.8,0.9,0.436500
46,0,0.65,0.8,0.9,0.407400
47,0,0.55,0.8,0.9,0.388000
48,0,0.52,0.8,0.9,0.368600
49,0,0.4,0.8,0.9,0.077600
50,0,0.38,0.8,0.9,0.097000
51,0,0.35,0.8,0.9,0.077600
52,0,0.35,0.8,0.9,0.058200
53,0.05,0.4,0.8,0.9,0.048500
54,0.15,0.45,0.8,0.9,0.058200
55,0.3,0.55,0.8,0.9,0.077600
56,0.5,0.65,0.8,0.9,0.097000
57,0.7,0.7,0.8,0.9,0.077600
58,0.85,0.75,0.8,0.9,0.058200
59,0.95,0.8,0.8,0.9,0.048500
60,1,0.85,0.8,0.9,0.058200
61,0.95,0.82,0.8,0.9,0.077600
62,0.85,0.8,0.8,0.9,0.077600
63,0.7,0.78,0.8,0.9,0.097000
64,0.5,0.75,0.8,0.9,0.116400
65,0.3,0.8,0.8,0.9,0.097000
66,0.15,0.85,0.8,0.9,0.077600
67,0.05,0.82,0.8,0.9,0.058200
68,0,0.75,0.8,0.9,0.077600
69,0,0.65,0.8,0.9,0.097000
70,0,0.55,0.8,0.9,0.077600
71,0,0.45,0.8,0.9,0.058200
72,0,0.42,0.8,0.9,0.048500
73,0,0.55,0.8,0.9,0.485000
74,0,0.52,0.8,0.9,0.533500
75,0,0.5,0.8,0.9,0.562600
76,0,0.5,0.8,0.9,0.533500
77,0.02,0.55,0.8,0.9,0.485000
78,0.08,0.62,0.8,0.9,0.436500
79,0.18,0.72,0.8,0.9,0.388000
80,0.32,0.82,0.8,0.9,0.339500
81,0.48,0.88,0.8,0.9,0.310400
82,0.62,0.9,0.8,0.9,0.291000
83,0.72,0.88,0.8,0.9,0.271600
84,0.78,0.85,0.8,0.9,0.291000
85,0.72,0.82,0.8,0.9,0.310400
86,0.62,0.8,0.8,0.9,0.339500
87,0.48,0.82,0.8,0.9,0.368600
88,0.32,0.85,0.8,0.9,0.388000
89,0.18,0.9,0.8,0.9,0.436500
90,0.08,0.95,0.8,0.9,0.485000
91,0.02,0.92,0.8,0.9,0.504400
92,0,0.88,0.8,0.9,0.533500
93,0,0.82,0.8,0.9,0.562600
94,0,0.75,0.8,0.9,0.533500
95,0,0.68,0.8,0.9,0.485000
96,0,0.6,0.8,0.9,0.465600
97,0,0.48,0.8,0.9,0.407400
98,0,0.45,0.8,0.9,0.436500
99,0,0.42,0.8,0.9,0.465600
100,0,0.42,0.8,0.9,0.436500
101,0.05,0.48,0.8,0.9,0.388000
102,0.12,0.55,0.8,0.9,0.339500
103,0.25,0.65,0.8,0.9,0.310400
104,0.42,0.75,0.8,0.9,0.271600
105,0.58,0.82,0.8,0.9,0.242500
106,0.72,0.85,0.8,0.9,0.213400
107,0.82,0.82,0.8,0.9,0.242500
108,0.88,0.78,0.8,0.9,0.271600
109,0.85,0.75,0.8,0.9,0.310400
110,0.75,0.72,0.8,0.9,0.339500
111,0.6,0.72,0.8,0.9,0.368600
112,0.42,0.75,0.8,0.9,0.388000
113,0.25,0.82,0.8,0.9,0.407400
114,0.12,0.88,0.8,0.9,0.436500
115,0.05,0.92,0.8,0.9,0.465600
116,0,0.88,0.8,0.9,0.485000
117,0,0.82,0.8,0.9,0.465600
118,0,0.75,0.8,0.9,0.436500
119,0,0.68,0.8,0.9,0.407400
120,0,0.58,0.8,0.9,0.388000
121,0,0.45,0.8,0.9,0.058200
122,0,0.42,0.8,0.9,0.077600
123,0,0.4,0.8,0.9,0.097000
124,0,0.4,0.8,0.9,0.077600
125,0.05,0.45,0.8,0.9,0.058200
126,0.12,0.52,0.8,0.9,0.077600
127,0.25,0.62,0.8,0.9,0.097000
128,0.42,0.72,0.8,0.9,0.077600
129,0.58,0.78,0.8,0.9,0.058200
130,0.7,0.82,0.8,0.9,0.077600
131,0.78,0.8,0.8,0.9,0.097000
132,0.82,0.78,0.8,0.9,0.077600
133,0.75,0.75,0.8,0.9,0.097000
134,0.62,0.72,0.8,0.9,0.116400
135,0.45,0.72,0.8,0.9,0.097000
136,0.28,0.78,0.8,0.9,0.077600
137,0.12,0.85,0.8,0.9,0.097000
138,0.05,0.88,0.8,0.9,0.077600
139,0,0.85,0.8,0.9,0.097000
140,0,0.78,0.8,0.9,0.116400
141,0,0.7,0.8,0.9,0.097000
142,0,0.62,0.8,0.9,0.077600
143,0,0.55,0.8,0.9,0.058200
144,0,0.48,0.8,0.9,0.048500
145,0,0.5,0.8,0.9,0.436500
146,0,0.48,0.8,0.9,0.465600
147,0,0.45,0.8,0.9,0.485000
148,0,0.45,0.8,0.9,0.465600
149,0.02,0.5,0.8,0.9,0.436500
150,0.08,0.55,0.8,0.9,0.388000
151,0.18,0.62,0.8,0.9,0.339500
152,0.32,0.72,0.8,0.9,0.310400
153,0.48,0.78,0.8,0.9,0.291000
154,0.6,0.82,0.8,0.9,0.271600
155,0.68,0.8,0.8,0.9,0.291000
156,0.72,0.75,0.8,0.9,0.310400
157,0.65,0.72,0.8,0.9,0.339500
158,0.52,0.72,0.8,0.9,0.368600
159,0.35,0.75,0.8,0.9,0.388000
160,0.18,0.82,0.8,0.9,0.407400
161,0.08,0.88,0.8,0.9,0.388000
162,0.02,0.88,0.8,0.9,0.368600
163,0,0.82,0.8,0.9,0.339500
164,0,0.75,0.8,0.9,0.310400
165,0,0.68,0.8,0.9,0.291000
166,0,0.6,0.8,0.9,0.271600
167,0,0.55,0.8,0.9,0.242500
168,0,0.5,0.8,0.9,0.213400
169,0,0.55,0.8,0.9,0.485000
170,0,0.52,0.8,0.9,0.533500
171,0,0.5,0.8,0.9,0.562600
172,0,0.5,0.8,0.9,0.533500
173,0.02,0.55,0.8,0.9,0.485000
174,0.06,0.6,0.8,0.9,0.436500
175,0.15,0.68,0.8,0.9,0.388000
176,0.28,0.75,0.8,0.9,0.339500
177,0.42,0.82,0.8,0.9,0.310400
178,0.55,0.86,0.8,0.9,0.291000
179,0.65,0.88,0.8,0.9,0.271600
180,0.7,0.85,0.8,0.9,0.291000
181,0.68,0.82,0.8,0.9,0.310400
182,0.58,0.78,0.8,0.9,0.339500
183,0.45,0.78,0.8,0.9,0.368600
184,0.3,0.82,0.8,0.9,0.388000
185,0.15,0.88,0.8,0.9,0.436500
186,0.06,0.9,0.8,0.9,0.485000
187,0.02,0.88,0.8,0.9,0.504400
188,0,0.85,0.8,0.9,0.533500
189,0,0.78,0.8,0.9,0.562600
190,0,0.72,0.8,0.9,0.533500
191,0,0.65,0.8,0.9,0.485000
192,0,0.6,0.8,0.9,0.465600
